authorDisplayName,textDisplay,likeCount,publishedAt
@Wanidadong1,ประทับใจการแสดงครั้งนี้มาก ยิ่งได้ฟังเสียงร้องสดชัดๆ ยิ่งหลงรัก ZEROBASEONE เข้าไปอีก 💙🥹🥰🌹🫠🖤🩶🤍,0,2026-05-22 00:50:29 UTC
@VenLSH0706,"Oh my god, finally ZB1 covered Shinee's ""Sherlock""! I've been waiting for this day and of course they ate it up💙",0,2026-05-21 09:34:06 UTC
@careli7420,"baru tau kalau boleh MAKAN di atas panggung.
selain mereka ber5 yang MAKAN, kameramennya juga MAKAN ternyata",1,2026-05-23 18:01:05 UTC
@MiaLu-i4i7w,Los amo mucho mis chicos 😭❤️‍🩹 estoy muy orgullosa de ustedes,0,2026-05-22 03:05:13 UTC
@asdf0418,❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥,1,2026-05-22 07:32:53 UTC
@Panda68-d3q,Go go boys,1,2026-05-23 06:56:23 UTC
@Aiirinn431,YAAA AATEEE,1,2026-05-22 14:03:52 UTC
@LeydyQuispe-b9e,Al fiNnN después de 100 años la suben😢 los amo Zerobaseone ❤❤❤❤,0,2026-05-21 04:52:25 UTC
@Hgftygj,💙💙,0,2026-05-21 11:06:04 UTC
@everysongforME,这绝对是2026最佳cover舞台了。。。。。。。。。。。。。。。。。。。。。。。。。,1,2026-05-22 12:48:39 UTC
@alicepark8553,❤❤❤🎉,0,2026-05-21 09:50:45 UTC
@L._.binbin,每天亿遍！,1,2026-05-23 15:49:32 UTC
@FabricioSilva-ln8li,eles são o shinee da 5ª geração,0,2026-05-21 22:13:36 UTC
@piodiva8672,keren banget 😍😍😍😍,0,2026-05-22 18:15:34 UTC
@j.jesica,VOCALBASEONE,1,2026-05-22 03:53:10 UTC
@hm2gv5wq5i,건욱이 랩도 노래도 춤도 다잘하는 올라운더 아이돌이야💙,2,2026-05-22 13:44:19 UTC
@ibethruiz6547,Tener que pasar lo que pasó para que medio tomarán en cuenta a Ji woong lo amo,0,2026-05-21 05:39:09 UTC
